approach,scenario_id,scenario_name,difficulty,challenge_type,from_version,later_versions,preserved_success_count,success_preservation_rate
gpt_pdd_group_b3,1,easy_open_short_path,easy,straight_line,2,6,6,1.0
gpt_pdd_group_b3,1,easy_open_short_path,easy,straight_line,3,5,5,1.0
gpt_pdd_group_b3,1,easy_open_short_path,easy,straight_line,4,4,4,1.0
gpt_pdd_group_b3,1,easy_open_short_path,easy,straight_line,5,3,3,1.0
gpt_pdd_group_b3,1,easy_open_short_path,easy,straight_line,6,2,2,1.0
gpt_pdd_group_b3,1,easy_open_short_path,easy,straight_line,7,1,1,1.0
gpt_pdd_group_b3,1,easy_open_short_path,easy,straight_line,8,0,0,
gpt_pdd_group_b3,3,easy_l_wall_one_turn,easy,single_detour,2,6,5,0.833
gpt_pdd_group_b3,3,easy_l_wall_one_turn,easy,single_detour,3,5,4,0.8
gpt_pdd_group_b3,3,easy_l_wall_one_turn,easy,single_detour,4,4,3,0.75
gpt_pdd_group_b3,3,easy_l_wall_one_turn,easy,single_detour,5,3,2,0.667
gpt_pdd_group_b3,3,easy_l_wall_one_turn,easy,single_detour,6,2,1,0.5
gpt_pdd_group_b3,3,easy_l_wall_one_turn,easy,single_detour,8,0,0,
gpt_pdd_group_b3,4,easy_corner_goal_blocked,easy,single_detour,3,5,2,0.4
gpt_pdd_group_b3,4,easy_corner_goal_blocked,easy,single_detour,6,2,1,0.5
gpt_pdd_group_b3,4,easy_corner_goal_blocked,easy,single_detour,7,1,0,0.0
gpt_pdd_group_b3,6,medium_straight_narrow_corridor,medium,corridor,2,6,6,1.0
gpt_pdd_group_b3,6,medium_straight_narrow_corridor,medium,corridor,3,5,5,1.0
gpt_pdd_group_b3,6,medium_straight_narrow_corridor,medium,corridor,4,4,4,1.0
gpt_pdd_group_b3,6,medium_straight_narrow_corridor,medium,corridor,5,3,3,1.0
gpt_pdd_group_b3,6,medium_straight_narrow_corridor,medium,corridor,6,2,2,1.0
gpt_pdd_group_b3,6,medium_straight_narrow_corridor,medium,corridor,7,1,1,1.0
gpt_pdd_group_b3,6,medium_straight_narrow_corridor,medium,corridor,8,0,0,
gpt_pdd_group_b3,11,hard_maze_one_dead_end,hard,dead_end,2,6,5,0.833
gpt_pdd_group_b3,11,hard_maze_one_dead_end,hard,dead_end,3,5,4,0.8
gpt_pdd_group_b3,11,hard_maze_one_dead_end,hard,dead_end,4,4,3,0.75
gpt_pdd_group_b3,11,hard_maze_one_dead_end,hard,dead_end,5,3,2,0.667
gpt_pdd_group_b3,11,hard_maze_one_dead_end,hard,dead_end,6,2,1,0.5
gpt_pdd_group_b3,11,hard_maze_one_dead_end,hard,dead_end,8,0,0,
opus_pdd_group_b3,1,easy_open_short_path,easy,straight_line,2,6,4,0.667
opus_pdd_group_b3,1,easy_open_short_path,easy,straight_line,3,5,3,0.6
opus_pdd_group_b3,1,easy_open_short_path,easy,straight_line,4,4,2,0.5
opus_pdd_group_b3,1,easy_open_short_path,easy,straight_line,5,3,1,0.333
opus_pdd_group_b3,1,easy_open_short_path,easy,straight_line,6,2,0,0.0
opus_pdd_group_b3,2,easy_single_obstacle_detour,easy,single_detour,2,6,3,0.5
opus_pdd_group_b3,2,easy_single_obstacle_detour,easy,single_detour,3,5,2,0.4
opus_pdd_group_b3,2,easy_single_obstacle_detour,easy,single_detour,5,3,1,0.333
opus_pdd_group_b3,2,easy_single_obstacle_detour,easy,single_detour,6,2,0,0.0
opus_pdd_group_b3,3,easy_l_wall_one_turn,easy,single_detour,5,3,1,0.333
opus_pdd_group_b3,3,easy_l_wall_one_turn,easy,single_detour,6,2,0,0.0
opus_pdd_group_b3,4,easy_corner_goal_blocked,easy,single_detour,5,3,1,0.333
opus_pdd_group_b3,4,easy_corner_goal_blocked,easy,single_detour,6,2,0,0.0
opus_pdd_group_b3,5,easy_two_isolated_obstacles,easy,single_detour,5,3,1,0.333
opus_pdd_group_b3,5,easy_two_isolated_obstacles,easy,single_detour,6,2,0,0.0
opus_pdd_group_b3,8,medium_central_obstacle,medium,single_detour,5,3,1,0.333
opus_pdd_group_b3,8,medium_central_obstacle,medium,single_detour,6,2,0,0.0
opus_pdd_group_b3,9,medium_single_valid_detour,medium,single_detour,5,3,1,0.333
opus_pdd_group_b3,9,medium_single_valid_detour,medium,single_detour,6,2,0,0.0
opus_pdd_group_b3,11,hard_maze_one_dead_end,hard,dead_end,5,3,0,0.0
