approach,version,controller_path,scenario_id,scenario_name,difficulty,challenge_type,description,step_budget,event,steps,trace_len,action_trace,position_trace,heading_trace,error
gpt_pdd_group_a,1,controllers/pdd_group_a/controller_v1.py,1,easy_open_short_path,easy,straight_line,"Open grid, no obstacles, short path.",20,INVALID_CONTROLLER,0,0,[],[],[],module 'controller_module' has no attribute 'Controller'
gpt_pdd_group_a,1,controllers/pdd_group_a/controller_v1.py,2,easy_single_obstacle_detour,easy,single_detour,Single obstacle on the direct path requiring one simple detour.,24,INVALID_CONTROLLER,0,0,[],[],[],module 'controller_module' has no attribute 'Controller'
gpt_pdd_group_a,1,controllers/pdd_group_a/controller_v1.py,3,easy_l_wall_one_turn,easy,single_detour,L-shaped wall forcing a simple route with one major turn.,28,INVALID_CONTROLLER,0,0,[],[],[],module 'controller_module' has no attribute 'Controller'
gpt_pdd_group_a,1,controllers/pdd_group_a/controller_v1.py,4,easy_corner_goal_blocked,easy,single_detour,Goal is in a corner with one obstacle blocking the most direct route.,26,INVALID_CONTROLLER,0,0,[],[],[],module 'controller_module' has no attribute 'Controller'
gpt_pdd_group_a,1,controllers/pdd_group_a/controller_v1.py,5,easy_two_isolated_obstacles,easy,single_detour,Slightly longer path with two isolated obstacles on the direct route.,30,INVALID_CONTROLLER,0,0,[],[],[],module 'controller_module' has no attribute 'Controller'
gpt_pdd_group_a,1,controllers/pdd_group_a/controller_v1.py,6,medium_straight_narrow_corridor,medium,corridor,Narrow one-cell-wide corridor running straight through the map.,15,INVALID_CONTROLLER,0,0,[],[],[],module 'controller_module' has no attribute 'Controller'
gpt_pdd_group_a,1,controllers/pdd_group_a/controller_v1.py,7,medium_s_shaped_path,medium,corridor,S-shaped corridor with two forced turns.,20,INVALID_CONTROLLER,0,0,[],[],[],module 'controller_module' has no attribute 'Controller'
gpt_pdd_group_a,1,controllers/pdd_group_a/controller_v1.py,8,medium_central_obstacle,medium,single_detour,Large central obstacle can be navigated around either side.,20,INVALID_CONTROLLER,0,0,[],[],[],module 'controller_module' has no attribute 'Controller'
gpt_pdd_group_a,1,controllers/pdd_group_a/controller_v1.py,9,medium_single_valid_detour,medium,single_detour,Direct route is blocked and only one detour gap is available.,18,INVALID_CONTROLLER,0,0,[],[],[],module 'controller_module' has no attribute 'Controller'
gpt_pdd_group_a,1,controllers/pdd_group_a/controller_v1.py,10,medium_dead_end_corridors,medium,dead_end,Two corridor choices exist; one is a dead end and one reaches the goal.,20,INVALID_CONTROLLER,0,0,[],[],[],module 'controller_module' has no attribute 'Controller'
gpt_pdd_group_a,1,controllers/pdd_group_a/controller_v1.py,11,hard_maze_one_dead_end,hard,dead_end,Maze-like layout with one dead end before the correct path.,24,INVALID_CONTROLLER,0,0,[],[],[],module 'controller_module' has no attribute 'Controller'
gpt_pdd_group_a,1,controllers/pdd_group_a/controller_v1.py,12,hard_u_trap_goal,hard,counterintuitive,U-shaped trap in front of the goal requiring the robot to go around.,24,INVALID_CONTROLLER,0,0,[],[],[],module 'controller_module' has no attribute 'Controller'
gpt_pdd_group_a,1,controllers/pdd_group_a/controller_v1.py,13,hard_long_detour_budget,hard,counterintuitive,Long detour required; naive direct movement exhausts the tight budget.,26,INVALID_CONTROLLER,0,0,[],[],[],module 'controller_module' has no attribute 'Controller'
gpt_pdd_group_a,1,controllers/pdd_group_a/controller_v1.py,14,hard_two_dead_ends,hard,dead_end,"Two dead ends and one correct path, with the correct route initially counterintuitive.",28,INVALID_CONTROLLER,0,0,[],[],[],module 'controller_module' has no attribute 'Controller'
